INDICATOR	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2005	2005	457622.7044		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2006	2006	487891.8637		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2007	2007	516889.6271		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2008	2008	709856.5941		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2009	2009	817139.129		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2010	2010	853065.8518		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2011	2011	714077.3492		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2012	2012	670442.48		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2013	2013	692526.727		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	PRT	Portugal	2014	2014	691474.7529		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2000	2000	114287.784		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2001	2001	117683.6373		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2002	2002	125959.8104		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2003	2003	166120.1717		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2004	2004	189134.2531		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2005	2005	205847.1973		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2006	2006	218388.1078		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2007	2007	222353.6765		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2008	2008	229089.751		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2009	2009	235902.7468		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2010	2010	320971.4334		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2011	2011	375191.2162		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2012	2012	448390.143		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2013	2013	433642.2016		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	SVK	Slovakia	2014	2014	487091.8318		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ESP	Spain	2013	2013	3508277.749		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ESP	Spain	2014	2014	3425436.735		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CHE	Switzerland	1996	1996	1851621.189		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CHE	Switzerland	2000	2000	1817598.843		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CHE	Switzerland	2004	2004	2243668.111		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CHE	Switzerland	2008	2008	2435700.955		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CHE	Switzerland	2012	2012	3119425.347		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	GBR	United Kingdom of Great Britain and Northern Ireland	2007	2007	5266183.299		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	GBR	United Kingdom of Great Britain and Northern Ireland	2008	2008	5290263.925		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	GBR	United Kingdom of Great Britain and Northern Ireland	2009	2009	5576472.593		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	GBR	United Kingdom of Great Britain and Northern Ireland	2010	2010	5929840.091		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	GBR	United Kingdom of Great Britain and Northern Ireland	2011	2011	5549498.021		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	GBR	United Kingdom of Great Britain and Northern Ireland	2012	2012	5522676.279		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	GBR	United Kingdom of Great Britain and Northern Ireland	2013	2013	5809355.202		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	GBR	United Kingdom of Great Britain and Northern Ireland	2014	2014	6090051.382		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	1996	1996	536817.5051		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	1997	1997	535532.5962		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	1998	1998	638154.1641		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	1999	1999	564767.1095		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	2000	2000	605086.5375		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	2001	2001	584082.3412		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	2002	2002	427523.5713		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	2003	2003	479695.8917		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ARG	Argentina	2004	2004	490535.4328		
