INDICATOR	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2001	2001	141705.6722		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2002	2002	151178.8399		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2003	2003	153166.6397		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2004	2004	175349.2582		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2005	2005	174043.3714		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2006	2006	194486.7837		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2007	2007	188200.5406		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2008	2008	221337.439		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2009	2009	249705.4818		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2010	2010	369105.8956		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2011	2011	359956.8463		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2012	2012	417807.8335		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2013	2013	441276.0309		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	BGR	Bulgaria	2014	2014	544295.895		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	1996	1996	4173599.515		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	1997	1997	5488401.452		
